,e89,dx,dy,r,m1,m2
0,0.73454386,-0.046599388,-2.075273,2.0757961,0.15186891,2.589533
1,0.27041703,-0.52938104,0.13761139,0.5469746,0.15186891,0.764438
2,-0.052495547,-0.58951926,0.88252974,1.061316,0.15186891,2.7223725
3,-0.4838391,-1.7362885,0.47030926,1.7988576,0.15186891,5.5285244
4,-0.6987611,0.046599388,2.075273,2.0757961,2.589533,0.15186891
5,-0.93698144,-0.48278165,2.2128844,2.264936,2.589533,0.764438
6,-1.4564564,-0.5429199,2.9578028,3.007218,2.589533,2.7223725
7,-1.6284732,-1.6896892,2.5455823,3.0553296,2.589533,5.5285244
8,-0.26220712,0.52938104,-0.13761139,0.5469746,0.764438,0.15186891
9,0.9702318,0.48278165,-2.2128844,2.264936,0.764438,2.589533
10,0.1756259,-0.060138226,0.74491835,0.74734193,0.764438,2.7223725
11,-0.15660858,-1.2069075,0.33269787,1.2519239,0.764438,5.5285244
12,0.05631153,0.58951926,-0.88252974,1.061316,2.7223725,0.15186891
13,1.4821743,0.5429199,-2.9578028,3.007218,2.7223725,2.589533
14,-0.16784468,0.060138226,-0.74491835,0.74734193,2.7223725,0.764438
15,-0.03782725,-1.1467693,-0.41222048,1.218608,2.7223725,5.5285244
16,0.39278784,1.7362885,-0.47030926,1.7988576,5.5285244,0.15186891
17,1.3484256,1.6896892,-2.5455823,3.0553296,5.5285244,2.589533
18,0.12114249,1.2069075,-0.33269787,1.2519239,5.5285244,0.764438
19,0.041974515,1.1467693,0.41222048,1.218608,5.5285244,2.7223725
20,0.36881772,2.2300181,0.03755957,2.2303343,7.877305,2.7447987
21,0.5222826,1.5339049,-1.200305,1.9477156,7.877305,1.4182837
22,-0.10955243,1.5223024,1.417669,2.08019,7.877305,2.974203
23,0.21044095,1.2606542,-0.64938086,1.4180778,7.877305,0.6282761
24,-0.5172818,-2.2300181,-0.03755957,2.2303343,2.7447987,7.877305
25,0.16173328,-0.6961131,-1.2378645,1.4201697,2.7447987,1.4182837
26,-0.4392642,-0.7077156,1.3801094,1.5509878,2.7447987,2.974203
27,0.00848108,-0.96936375,-0.68694043,1.188088,2.7447987,0.6282761
28,-0.72298527,-1.5339049,1.200305,1.9477156,1.4182837,7.877305
29,-0.15560797,0.6961131,1.2378645,1.4201697,1.4182837,2.7447987
30,-1.0952512,-0.011602461,2.6179738,2.6179996,1.4182837,2.974203
31,0.30282363,-0.27325064,0.55092406,0.61496603,1.4182837,0.6282761
32,0.15856987,-1.5223024,-1.417669,2.08019,2.974203,7.877305
33,0.44653445,0.7077156,-1.3801094,1.5509878,2.974203,2.7447987
34,1.0653048,0.011602461,-2.6179738,2.6179996,2.974203,1.4182837
35,0.6644816,-0.26164818,-2.06705,2.083544,2.974203,0.6282761
36,-0.29709157,-1.2606542,0.64938086,1.4180778,0.6282761,7.877305
37,-0.001886039,0.96936375,0.68694043,1.188088,0.6282761,2.7447987
38,-0.29569966,0.27325064,-0.55092406,0.61496603,0.6282761,1.4182837
39,-0.67281914,0.26164818,2.06705,2.083544,0.6282761,2.974203
40,-0.007566899,0.38322067,-0.895954,0.97446996,0.7907266,4.9508514
41,-0.21601889,2.1907988,1.899566,2.8996465,0.7907266,3.6257417
42,-0.034679946,0.5773945,0.270059,0.6374294,0.7907266,0.7589462
43,0.12942958,1.197434,-0.21699107,1.216936,0.7907266,0.13623004
44,-0.004849604,-0.38322067,0.895954,0.97446996,4.9508514,0.7907266
45,-0.66587484,1.8075781,2.79552,3.3290045,4.9508514,3.6257417
46,-0.09101091,0.19417381,1.166013,1.1820701,4.9508514,0.7589462
47,0.0013275055,0.8142133,0.67896295,1.0601575,4.9508514,0.13623004
48,0.21666971,-2.1907988,-1.899566,2.8996465,3.6257417,0.7907266
49,0.72392607,-1.8075781,-2.79552,3.3290045,3.6257417,4.9508514
50,0.23055293,-1.6134043,-1.6295071,2.2931128,3.6257417,0.7589462
51,0.54418206,-0.9933648,-2.1165571,2.3380735,3.6257417,0.13623004
52,0.04555614,-0.5773945,-0.270059,0.6374294,0.7589462,0.7907266
53,0.11619517,-0.19417381,-1.166013,1.1820701,0.7589462,4.9508514
54,-0.2212272,1.6134043,1.6295071,2.2931128,0.7589462,3.6257417
55,-0.14980315,0.62003946,-0.48705006,0.7884584,0.7589462,0.13623004
56,-0.12022795,-1.197434,0.21699107,1.216936,0.13623004,0.7907266
57,0.011914635,-0.8142133,-0.67896295,1.0601575,0.13623004,4.9508514
58,-0.5745533,0.9933648,2.1165571,2.3380735,0.13623004,3.6257417
59,0.15999244,-0.62003946,0.48705006,0.7884584,0.13623004,0.7589462
60,0.28616503,-0.36318493,0.005170107,0.36322173,0.49737152,1.2358007
61,-0.24635917,0.5508611,-0.32639074,0.6402959,0.49737152,2.106535
62,-0.48336208,-2.024807,0.09515667,2.0270417,0.49737152,2.2083576
63,-0.02918074,-0.49107695,-0.7449653,0.8922611,0.49737152,1.2592524
64,-0.28505838,0.36318493,-0.005170107,0.36322173,1.2358007,0.49737152
65,-0.0069847507,0.91404605,-0.33156085,0.97232336,1.2358007,2.106535
66,-0.3148588,-1.661622,0.08998656,1.6640569,1.2358007,2.2083576
67,-0.1293861,-0.12789202,-0.7501354,0.76095957,1.2358007,1.2592524
68,0.25430512,-0.5508611,0.32639074,0.6402959,2.106535,0.49737152
69,0.018292518,-0.91404605,0.33156085,0.97232336,2.106535,1.2358007
70,-0.8626025,-2.575668,0.4215474,2.6099365,2.106535,2.2083576
