,e62,dx,dy,r,m1,m2
0,9.403845e-06,-0.051255703,-0.44484568,0.4477888,0.15186891,2.589533
1,9.403845e-06,0.17686653,0.59264135,0.6184703,0.15186891,0.764438
2,0.6044572,1.0023243,2.521029,2.7129765,0.15186891,2.7223725
3,9.403845e-06,-0.60872006,1.6926179,1.7987484,0.15186891,5.5285244
4,9.403845e-06,0.051255703,0.44484568,0.4477888,2.589533,0.15186891
5,9.403845e-06,0.22812223,1.037487,1.0622706,2.589533,0.764438
6,0.70564264,1.05358,2.9658747,3.1474504,2.589533,2.7223725
7,0.6809025,-0.55746436,2.1374636,2.208963,2.589533,5.5285244
8,9.403845e-06,-0.17686653,-0.59264135,0.6184703,0.764438,0.15186891
9,9.403845e-06,-0.22812223,-1.037487,1.0622706,0.764438,2.589533
10,0.37386832,0.8254578,1.9283876,2.097632,0.764438,2.7223725
11,9.403845e-06,-0.7855866,1.0999765,1.3517007,0.764438,5.5285244
12,-0.0857383,-1.0023243,-2.521029,2.7129765,2.7223725,0.15186891
13,-0.09731917,-1.05358,-2.9658747,3.1474504,2.7223725,2.589533
14,-0.06761012,-0.8254578,-1.9283876,2.097632,2.7223725,0.764438
15,9.403845e-06,-1.6110444,-0.8284111,1.8115543,2.7223725,5.5285244
16,9.403845e-06,0.60872006,-1.6926179,1.7987484,5.5285244,0.15186891
17,-0.047696903,0.55746436,-2.1374636,2.208963,5.5285244,2.589533
18,9.403845e-06,0.7855866,-1.0999765,1.3517007,5.5285244,0.764438
19,9.403845e-06,1.6110444,0.8284111,1.8115543,5.5285244,2.7223725
20,-0.036133915,2.6406374,0.023151278,2.640739,7.877305,2.7447987
21,9.403845e-06,0.6328338,-0.8467704,1.057118,7.877305,1.4182837
22,0.06351521,1.588484,1.4717412,2.16548,7.877305,2.974203
23,9.403845e-06,0.01925075,0.78740734,0.7876426,7.877305,0.6282761
24,0.6308231,-2.6406374,-0.023151278,2.640739,2.7447987,7.877305
25,0.1383311,-2.0078034,-0.8699217,2.1881588,2.7447987,1.4182837
26,9.403845e-06,-1.0521533,1.4485899,1.7903742,2.7447987,2.974203
27,0.9658772,-2.6213865,0.76425606,2.7305229,2.7447987,0.6282761
28,9.403845e-06,-0.6328338,0.8467704,1.057118,1.4182837,7.877305
29,0.053967323,2.0078034,0.8699217,2.1881588,1.4182837,2.7447987
30,0.51657146,0.9556502,2.3185115,2.5077405,1.4182837,2.974203
31,9.403845e-06,-0.613583,1.6341777,1.7455719,1.4182837,0.6282761
32,0.026860118,-1.588484,-1.4717412,2.16548,2.974203,7.877305
33,9.403845e-06,1.0521533,-1.4485899,1.7903742,2.974203,2.7447987
34,-0.074304126,-0.9556502,-2.3185115,2.5077405,2.974203,1.4182837
35,9.403845e-06,-1.5692332,-0.68433386,1.7119595,2.974203,0.6282761
36,9.403845e-06,-0.01925075,-0.78740734,0.7876426,0.6282761,7.877305
37,-0.055503156,2.6213865,-0.76425606,2.7305229,0.6282761,2.7447987
38,9.403845e-06,0.613583,-1.6341777,1.7455719,0.6282761,1.4182837
39,9.403845e-06,1.5692332,0.68433386,1.7119595,0.6282761,2.974203
40,9.403845e-06,0.008575439,-0.6473315,0.6473883,0.7907266,4.9508514
41,0.68999887,0.8797908,2.709589,2.8488426,0.7907266,3.6257417
42,9.403845e-06,0.89834404,0.90843284,1.2776041,0.7907266,0.7589462
43,9.403845e-06,0.21639681,0.18797374,0.28663862,0.7907266,0.13623004
44,9.403845e-06,-0.008575439,0.6473315,0.6473883,4.9508514,0.7907266
45,0.67738014,0.87121534,3.3569207,3.468131,4.9508514,3.6257417
46,9.403845e-06,0.8897686,1.5557643,1.7922306,4.9508514,0.7589462
47,9.403845e-06,0.20782137,0.8353052,0.8607697,4.9508514,0.13623004
48,-0.07310781,-0.8797908,-2.709589,2.8488426,3.6257417,0.7907266
49,-0.086930715,-0.87121534,-3.3569207,3.468131,3.6257417,4.9508514
50,9.403845e-06,0.018553257,-1.8011563,1.8012519,3.6257417,0.7589462
51,-0.06780465,-0.663394,-2.5216155,2.6074195,3.6257417,0.13623004
52,9.403845e-06,-0.89834404,-0.90843284,1.2776041,0.7589462,0.7907266
53,9.403845e-06,-0.8897686,-1.5557643,1.7922306,0.7589462,4.9508514
54,9.403845e-06,-0.018553257,1.8011563,1.8012519,0.7589462,3.6257417
55,9.403845e-06,-0.68194723,-0.7204591,0.99202484,0.7589462,0.13623004
56,9.403845e-06,-0.21639681,-0.18797374,0.28663862,0.13623004,0.7907266
57,9.403845e-06,-0.20782137,-0.8353052,0.8607697,0.13623004,4.9508514
58,0.6323283,0.663394,2.5216155,2.6074195,0.13623004,3.6257417
59,9.403845e-06,0.68194723,0.7204591,0.99202484,0.13623004,0.7589462
60,9.403845e-06,-0.72568417,-0.750885,1.044244,0.49737152,1.2358007
61,9.403845e-06,0.47027445,0.098002195,0.48037744,0.49737152,2.106535
62,9.403845e-06,-0.93407154,-0.4776659,1.0491208,0.49737152,2.2083576
63,9.403845e-06,1.1811469,-0.87969685,1.4727439,0.49737152,1.2592524
64,9.403845e-06,0.72568417,0.750885,1.044244,1.2358007,0.49737152
65,9.403845e-06,1.1959586,0.8488872,1.4666038,1.2358007,2.106535
66,9.403845e-06,-0.20838737,0.2732191,0.34361893,1.2358007,2.2083576
67,9.403845e-06,1.906831,-0.12881184,1.9111768,1.2358007,1.2592524
68,9.403845e-06,-0.47027445,-0.098002195,0.48037744,2.106535,0.49737152
69,9.403845e-06,-1.1959586,-0.8488872,1.4666038,2.106535,1.2358007
70,9.403845e-06,-1.404346,-0.5756681,1.5177554,2.106535,2.2083576
71,9.403845e-06,0.7108724,-0.97769904,1.2088156,2.106535,1.2592524
72,9.403845e-06,0.93407154,0.4776659,1.0491208,2.2083576,0.49737152
73,9.403845e-06,0.20838737,-0.2732191,0.34361893,2.2083576,1.2358007
74,9.403845e-06,1.404346,0.5756681,1.5177554,2.2083576,2.106535
75,-0.060302652,2.1152184,-0.40203094,2.1530855,2.2083576,1.2592524
76,9.403845e-06,-1.1811469,0.87969685,1.4727439,1.2592524,0.49737152
77,9.403845e-06,-1.906831,0.12881184,1.9111768,1.2592524,1.2358007
78,9.403845e-06,-0.7108724,0.97769904,1.2088156,1.2592524,2.106535
79,0.5973603,-2.1152184,0.40203094,2.1530855,1.2592524,2.2083576
80,0.39208928,-2.1283844,-0.14097995,2.1330483,0.34955072,4.3770914
81,9.403845e-06,-0.25148964,0.038588285,0.2544329,0.34955072,0.8905651
82,9.403845e-06,-1.4505541,-0.11462116,1.4550757,0.34955072,0.1433743
83,9.403845e-06,-1.3276279,0.8468268,1.57471,0.34955072,2.450741
84,-0.039777517,2.1283844,0.14097995,2.1330483,4.3770914,0.34955072
85,9.403845e-06,1.8768947,0.17956823,1.885465,4.3770914,0.8905651
86,9.403845e-06,0.6778302,0.026358783,0.6783425,4.3770914,0.1433743
87,9.403845e-06,0.80075645,0.98780674,1.2716025,4.3770914,2.450741
