,e35,dx,dy,r,m1,m2
0,-0.002094483,-1.528137,3.8713517,4.162039,5.7859054,0.83667064
1,0.098021775,-0.101210475,-0.25064838,0.27031124,5.7859054,0.77074516
2,0.090243876,-3.0713634,0.2850716,3.0845647,5.7859054,0.80020356
3,-0.048528496,1.528137,-3.8713517,4.162039,0.83667064,5.7859054
4,-0.010262088,1.4269265,-4.122,4.3619957,0.83667064,0.77074516
5,0.0005462141,-1.5432265,-3.58628,3.9042225,0.83667064,0.80020356
6,-0.7506633,0.101210475,0.25064838,0.27031124,0.77074516,5.7859054
7,-0.0021007974,-1.4269265,4.122,4.3619957,0.77074516,0.83667064
8,0.09500845,-2.9701529,0.53572,3.0180795,0.77074516,0.80020356
9,-0.6361501,3.0713634,-0.2850716,3.0845647,0.80020356,5.7859054
10,-0.0036484494,1.5432265,3.58628,3.9042225,0.80020356,0.83667064
11,-0.08649875,2.9701529,-0.53572,3.0180795,0.80020356,0.77074516
12,-0.094179645,1.023847,-0.594577,1.1839697,11.057396,0.43342817
13,-0.015710069,1.0289439,1.335089,1.6855824,11.057396,0.5284971
14,0.0022006365,0.04905498,0.37606227,0.37924823,11.057396,0.66203856
15,1.7657759,-1.023847,0.594577,1.1839697,0.43342817,11.057396
16,7.228437e-05,0.0050969124,1.929666,1.9296728,0.43342817,0.5284971
17,0.013908456,-0.974792,0.9706393,1.3756309,0.43342817,0.66203856
18,0.61613214,-1.0289439,-1.335089,1.6855824,0.5284971,11.057396
19,0.008319896,-0.0050969124,-1.929666,1.9296728,0.5284971,0.43342817
20,0.055876333,-0.9798889,-0.9590267,1.3710997,0.5284971,0.66203856
21,0.626859,-0.04905498,-0.37606227,0.37924823,0.66203856,11.057396
22,-0.054746613,0.974792,-0.9706393,1.3756309,0.66203856,0.43342817
23,-0.059260767,0.9798889,0.9590267,1.3710997,0.66203856,0.5284971
24,0.001544077,-1.6610639,-3.5011969,3.8752437,2.199531,1.1244929
25,9.138964e-05,0.15657091,-2.3250625,2.3303285,2.199531,0.122994326
26,-0.017314853,1.0575031,-2.2058144,2.4462073,2.199531,0.37987882
27,-0.0071192463,1.6610639,3.5011969,3.8752437,1.1244929,2.199531
28,-0.008909524,1.8176348,1.1761342,2.1649683,1.1244929,0.122994326
29,-0.04740401,2.718567,1.2953824,3.0114152,1.1244929,0.37987882
30,0.0015973183,-0.15657091,2.3250625,2.3303285,0.122994326,2.199531
31,0.1276103,-1.8176348,-1.1761342,2.1649683,0.122994326,1.1244929
32,-0.15605417,0.9009322,0.11924815,0.9087898,0.122994326,0.37987882
33,-0.0010239675,-1.0575031,2.2058144,2.4462073,0.37987882,2.199531
34,0.112936646,-2.718567,-1.2953824,3.0114152,0.37987882,1.1244929
35,0.047098234,-0.9009322,-0.11924815,0.9087898,0.37987882,0.122994326
36,-0.08236343,1.5804207,-0.7538054,1.7509861,1.401212,0.51058304
37,2.199896,-1.3550754,-0.42575455,1.420386,1.401212,8.551413
38,1.1858944,-0.6358891,-0.3457688,0.723817,1.401212,3.0384762
39,0.18328878,-1.5804207,0.7538054,1.7509861,0.51058304,1.401212
40,1.0630196,-2.935496,0.32805085,2.9537694,0.51058304,8.551413
41,0.42339206,-2.2163098,0.4080366,2.253558,0.51058304,3.0384762
42,-0.3682536,1.3550754,0.42575455,1.420386,8.551413,1.401212
43,-0.05881846,2.935496,-0.32805085,2.9537694,8.551413,0.51058304
44,-1.5475999,0.7191863,0.07998574,0.72362053,8.551413,3.0384762
45,-0.56526834,0.6358891,0.3457688,0.723817,3.0384762,1.401212
46,-0.079240076,2.2163098,-0.4080366,2.253558,3.0384762,0.51058304
