,e68,dx,dy,r,m1,m2
0,0.507255,-0.046599388,-2.075273,2.0757961,0.15186891,2.589533
1,-0.22087914,-0.52938104,0.13761139,0.5469746,0.15186891,0.764438
2,0.0008531518,-0.58951926,0.88252974,1.061316,0.15186891,2.7223725
3,0.39458352,-1.7362885,0.47030926,1.7988576,0.15186891,5.5285244
4,-0.4944759,0.046599388,2.075273,2.0757961,2.589533,0.15186891
5,-0.37667227,-0.48278165,2.2128844,2.264936,2.589533,0.764438
6,-0.639609,-0.5429199,2.9578028,3.007218,2.589533,2.7223725
7,-0.039249346,-1.6896892,2.5455823,3.0553296,2.589533,5.5285244
8,0.21699971,0.52938104,-0.13761139,0.5469746,0.764438,0.15186891
9,0.39775902,0.48278165,-2.2128844,2.264936,0.764438,2.589533
10,0.0942731,-0.060138226,0.74491835,0.74734193,0.764438,2.7223725
11,0.12557013,-1.2069075,0.33269787,1.2519239,0.764438,5.5285244
12,0.0010111998,0.58951926,-0.88252974,1.061316,2.7223725,0.15186891
13,0.6676369,0.5429199,-2.9578028,3.007218,2.7223725,2.589533
14,-0.09701473,0.060138226,-0.74491835,0.74734193,2.7223725,0.764438
15,0.1660092,-1.1467693,-0.41222048,1.218608,2.7223725,5.5285244
16,-0.38467783,1.7362885,-0.47030926,1.7988576,5.5285244,0.15186891
17,0.076198235,1.6896892,-2.5455823,3.0553296,5.5285244,2.589533
18,-0.12607072,1.2069075,-0.33269787,1.2519239,5.5285244,0.764438
19,-0.16765007,1.1467693,0.41222048,1.218608,5.5285244,2.7223725
20,-0.7035327,2.2300181,0.03755957,2.2303343,7.877305,2.7447987
21,-0.17943922,1.5339049,-1.200305,1.9477156,7.877305,1.4182837
22,-0.75239474,1.5223024,1.417669,2.08019,7.877305,2.974203
23,-0.1446401,1.2606542,-0.64938086,1.4180778,7.877305,0.6282761
24,0.7886011,-2.2300181,-0.03755957,2.2303343,2.7447987,7.877305
25,0.30046034,-0.6961131,-1.2378645,1.4201697,2.7447987,1.4182837
26,-0.06234149,-0.7077156,1.3801094,1.5509878,2.7447987,2.974203
27,0.15299454,-0.96936375,-0.68694043,1.188088,2.7447987,0.6282761
28,0.21218906,-1.5339049,1.200305,1.9477156,1.4182837,7.877305
29,-0.29931363,0.6961131,1.2378645,1.4201697,1.4182837,2.7447987
30,-0.7115544,-0.011602461,2.6179738,2.6179996,1.4182837,2.974203
31,0.046317406,-0.27325064,0.55092406,0.61496603,1.4182837,0.6282761
32,0.83267564,-1.5223024,-1.417669,2.08019,2.974203,7.877305
33,0.06258476,0.7077156,-1.3801094,1.5509878,2.974203,2.7447987
34,0.7328205,0.011602461,-2.6179738,2.6179996,2.974203,1.4182837
35,0.57851386,-0.26164818,-2.06705,2.083544,2.974203,0.6282761
36,0.15294456,-1.2606542,0.64938086,1.4180778,0.6282761,7.877305
